"name","artists","album","release_date"
"Vagalaadi                                         ","""Vivek Sagar                                      ","Balaji Dake                                       ",
"Asha Pasham                                       ","Anurag Kulkarni                                   ","Care Of Kancharapalem                             ","2018-08-20"
"Arerey Manasa                                     ","Sid Sriram                                        ","Falaknuma Das (Original Motion Picture Soundtrack)","2019-05-27"
"Yentha Sakkagunnave                               ","Devi Sri Prasad                                   ","Rangasthalam                                      ","2018-03-15"
"""Kaanunna Kalyanam (From """"Sita Ramam (Telugu)"""")""","""Vishal Chandrashekhar                            ","Anurag Kulkarni                                   ",
"""Sirivennela (From """"Shyam Singha Roy"""")""         ","""Anurag Kulkarni                                  ","Mickey J. Meyer""                                  ",
"""O Rendu Prema Meghaalila (First Love Song) [From ","""Vijai Bulganin                                   ","Sreerama Chandra""                                 ",
"""Massu Maranam - From """"Petta (Telugu)""""""         ","""Anirudh Ravichander                              ","Mano""                                             ",
"Ninnila                                           ","""Armaan Malik                                     ","Thaman S""                                         ",
"Urike Urike                                       ","""Sid Sriram                                       ","Ramya Behara                                      ",
"Manasu Maree                                      ","""Amit Trivedi                                     "," Shashaa Tirupati                                 ",
"Nee Kannu Neeli Samudram                          ","Javed Ali                                         ","Uppena                                            ","2020-03-02"
"Yedurangula Vaana                                 ","Sid Sriram                                        ","18 Pages                                          ","2022-12-16"
"Inkem Inkem Inkem Kaavaale                        ","Sid Sriram                                        ","Geetha Govindam                                   ",
"Jai Balayya                                       ","""Geetha Madhuri                                   ","Sahithi Chaganti                                  ",
"Saami Saami                                       ","Mounika Yadav                                     ","Pushpa - The Rise                                 ","2021-10-28"
"Bullet Song                                       ","""Devi Sri Prasad                                  ","Silambarasan TR                                   ",
"Nee Chitram Choosi                                ","Anurag Kulkarni                                   ","Love Story                                        ","2021-02-14"
"Maguva Maguva                                     ","Sid Sriram                                        ","Vakeel Saab                                       ","2020-03-08"
"""Ma Ma Mahesha (From """"Sarkaru Vaari Paata"""")""    ","""Sri Krishna                                      ","Jonita Gandhi                                     ",
"Gaali Vaaluga                                     ","Anirudh Ravichander                               ","Agnyaathavaasi                                    ","2017-11-07"
"Samajavaragamana                                  ","Sid Sriram                                        ","Ala Vaikunthapurramuloo                           ","2020-01-06"
"Ee Raathale                                       ","""Yuvan Shankar Raja                               ","Harini Ivaturi""                                   ",
"Laahe Laahe                                       ","""Mani Sharma                                      ","Harika Narayan                                    ",
